Type schedule          Chunks            Time
    static               8             3.326017
    static              16             3.894719
    static              32             3.471683
    static              64             3.148852
    static             128             0.000425

   dynamic               8             0.300009
   dynamic              16             0.255118
   dynamic              32             0.010272
   dynamic              64             0.008752
   dynamic             128             0.000779

    guided               8             0.001062
    guided              16             0.000640
    guided              32             0.000550
    guided              64             0.001858
    guided             128             0.000376

